"Arroz, integral, cozido","123.53","516.87","2.59","25.81","1","0","2.75"
"Arroz, integral, cru","359.68","1504.89","7.32","77.45","1.86","0","4.82"
"Arroz, tipo 1, cozido","128.26","536.63","2.52","28.06","0.23","0","1.56"
"Arroz, tipo 1, cru","357.79","1496.99","7.16","78.76","0.34","0","1.64"
"Arroz, tipo 2, cozido","130.12","544.42","2.57","28.19","0.36","0","1.07"
"Arroz, tipo 2, cru","358.12","1498.36","7.24","78.88","0.28","0","1.72"
"Aveia, flocos, crua","393.82","1647.75","13.92","66.64","8.5","0","9.13"
"Biscoito, doce, maisena","442.82","1852.76","8.07","75.23","11.97","0","2.1"
"Biscoito, doce, recheado com chocolate","471.82","1974.11","6.4","70.55","19.58","0","2.96"
"Biscoito, doce, recheado com morango","471.17","1971.4","5.72","71.01","19.57","0","1.53"
"Biscoito, doce, wafer, recheado de chocolate","502.46","2102.28","5.56","67.54","24.67","0","1.8"
"Biscoito, doce, wafer, recheado de morango","513.45","2148.26","4.52","67.35","26.4","1.27","0.82"
"Biscoito, salgado, cream cracker","431.73","1806.37","10.06","68.73","14.44","0","2.51"
"Bolo, mistura para","418.63","1751.56","6.16","84.71","6.13","0","1.7"
"Bolo, pronto, aipim","323.85","1355","4.42","47.86","12.75","73.2","0.69"
"Bolo, pronto, chocolate","410.01","1715.5","6.22","54.72","18.47","76.8","1.43"
"Bolo, pronto, coco","333.44","1395.1","5.67","52.28","11.3","63.21","1.06"
"Bolo, pronto, milho","311.39","1302.84","4.8","45.11","12.42","81.69","0.71"
"Canjica, branca, crua","357.6","1496.21","7.2","78.06","0.97","0","5.5"
"Canjica, com leite integral","112.46","470.52","2.36","23.63","1.24","1.35","1.22"
"Cereais, milho, flocos, com sal","369.6","1546.41","7.29","80.84","1.6","0","5.29"
"Cereais, milho, flocos, sem sal","363.34","1520.21","6.88","80.45","1.18","0","1.84"
"Cereais, mingau, milho, infantil","394.43","1650.28","6.43","87.27","1.09","0","3.21"
"Cereais, mistura para vitamina, trigo, cevada e aveia","381.13","1594.66","8.9","81.62","2.12","0","4.98"
"Cereal matinal, milho","365.35","1528.64","7.16","83.82","0.96","0","4.12"
"Cereal matinal, milho, açúcar","376.56","1575.51","4.74","88.84","0.67","0","2.11"
